Model,Accuracy,Precision,Recall
Base Logistic Regression,0.8713427779488759,0.8680485800383526,0.8336402701043585
LASSO Logistic Regression,0.8711887896519864,0.8677987765908883,0.8335525738840656
RFECV Logistic Regression,0.8704188481675392,0.8664174341205434,0.8332894852231869
